[650] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Redo'
[651] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Revert'
[652] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Refresh'
[653] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Pause'
[654] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Replay Animation'
[655] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Replay Speed Options'
[656] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'View: Original'
[657] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Download'
[658] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Full Screen'
[659] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Share'
[662] TAG: <div> | ARIA: 'Alerts' | TITLE: '' | TEXT: ''
